Comment,Designator,Footprint,LCSC Part #
MSP430FR5043IRGCR,U1,VQFN-64-EP(9x9),C1850128
IRLML6401,Q1,SOT-23,C382329
32.768kHz 12.5pF,Y1,SMD3215-2P,C32346
8MHz,Y2,SMD5032-2P,C115962
Schottky 40V,D1,SOD-123,
100uF 6.3V,C1,0805,
10uF,C2,0603,
100nF,"C3,C4,C10,C19,C20,C21",0402,
1uF,C18,0603,
Y1 load,"C6,C7",0402,
Y2 load,"C8,C9",0402,
47k,R1,0402,
1M,R2,0402,
4.7k,"R3,R4",0402,
Header 2.54mm 8p,J6,,
Header 1.27mm 4p,J1,,
Header 2.54mm 4p,"J3,J4",,
Header 2.54mm 3p,J5,,
Tactile switch,SW1,,
